Mixture	Neu	Oli	Ast	Mic	End	P-value	Correlation	RMSE
X525_120515_0	0.503144116506767	0.107554494274561	0.259877790877897	0.109693969200018	0.0197296291407562	0	0.575663845745591	0.82385831340781
X383_120503_0	0.492983171223049	0.119321873236445	0.186713044837988	0.170339487780756	0.030642422921762	0	0.610408787457544	0.790120808772923
X93_120417_0	0.540897132888327	0.105029859543998	0.138817337662059	0.204529280515541	0.0107263893900753	0	0.556065920881657	0.828560761340748
X610_120523_0	0.477029573316923	0.149280916186333	0.115973035040712	0.25457384436382	0.0031426310922128	0	0.616153142563053	0.790314986178601
X560_120517_0	0.339288286376967	0.221573979045082	0.26644859373525	0.0823936559539021	0.0902954848887988	0	0.717729751136211	0.699003917833483
X492_120515_0	0.62827113010189	0.153482044525692	0.141755400352828	0.0378269481869594	0.03866447683263	0	0.608120641502369	0.794052051114753
X576_120521_0	0.219897324789678	0.192589591317427	0.410156440189899	0.174157930348817	0.00319871335417922	0	0.796083898753763	0.618255297714796
X150_120419_0	0.602222660901287	0.165929063714262	0.143769688146455	0.0462861588804223	0.0417924283575737	0	0.593144984593062	0.804521967886436
X416_120503_0	0.50350844800954	0.0862042682686616	0.203340895152604	0.131635310595596	0.0753110779735984	0	0.581681983487363	0.81139529037001
X398_120503_0	0.211615296934476	0.347512837665302	0.326787417965394	0	0.114084447434828	0	0.813334920937867	0.592244334162216
X377_120503_0	0.622165868954917	0.0929577221793657	0.140947444849899	0.141152877200619	0.00277608681519919	0	0.5108857037446	0.858790979173645
X583_120522_0	0.368627464278695	0.20899994833369	0.30009108832746	0.0702326186890584	0.0520488803710968	0	0.660784635078376	0.75173410921887
X564_120517_1	0.521833288822089	0.183907734515367	0.230511786855453	0.063338294392056	0.000408895415034719	0	0.643249143322944	0.764503284689495
X112_120418_1	0.493271415123558	0.160609782644916	0.157757703387875	0.102825415560993	0.0855356832826584	0	0.512715002957832	0.856010538634356
X574_120521_1	0.376388901942716	0.206852073657671	0.199125195427578	0.184303887358004	0.0333299416140308	0	0.61170396064898	0.78931550988636
X44_120416_1	0.609840180345481	0.107167601860436	0.126095844225007	0.150858909156966	0.00603746441211039	0	0.560777928058665	0.825533166154459
X496_120515_1	0.466411641550215	0.154002398864947	0.220250542881451	0.148617453587023	0.0107179631163647	0	0.630681440088399	0.77437188458071
X526_120515_1	0.403560011557598	0.120992083810406	0.21676447887144	0.192379808938294	0.0663036168222611	0	0.658192717010852	0.752133178851904
X489_120515_1	0.434285720362704	0.249509455738814	0.229850465455149	0.0424543698640405	0.043899988579293	0	0.664968934620595	0.747569104125448
X480_120514_1	0.585462325884408	0.130437746709513	0.195273288704912	0.0607671084180721	0.0280595302830952	0	0.561538240341603	0.826467775136412
X470_120514_1	0.641015246547194	0.121074322884371	0.159289742242746	0.0637680504983856	0.0148526378273024	0	0.499054643747929	0.867596450540647
X188_120424_1	0.573531158674114	0.126687766846536	0.145015345777571	0.107674204496407	0.0470915242053717	0	0.597618028491732	0.801357439538611
X681_120604_1	0.687283326681987	0.131740893553774	0.0814205385556724	0.0932616366475032	0.0062936045610631	0	0.490436420508992	0.869061726411681
X522_120515_1	0.623623669625791	0.088684590114416	0.0716568005759997	0.186229953204545	0.0298049864792483	0	0.535026552838306	0.843161201337423
X477_120514_1	0.427907080942976	0.172060950085291	0.20093907429831	0.157671230446418	0.0414216642270052	0	0.618230245032897	0.784383452079966
X286_120430_1	0.634837270721327	0.122675193760645	0.150373496562936	0.0730337838312153	0.0190802551238772	0	0.61001073262748	0.791381805026036
X488_120515_1	0.47386147689627	0.242346376028039	0.102462868820935	0.176380426942867	0.00494885131188847	0	0.54277539502514	0.839053163177016
X563_120517_1	0.330347568904377	0.249170966306214	0.202623067374186	0.185415732573903	0.0324426648413191	0	0.668884008125601	0.746116788720958
X567_120521_1	0.372718395622967	0.161078858509859	0.226500036359907	0.18755862409255	0.0521440854147168	0	0.643716727822299	0.763656698405694
X363_120502_1	0.425730849723133	0.193533228974732	0.235919141035454	0.134497317548322	0.01031946271836	0	0.747976418438537	0.671462861776372
X396_120503_1	0.351207625639196	0.219613564366501	0.239529972020928	0.139752312397753	0.0498965255756224	0	0.678900260038297	0.734596493651808
X509_120515_1	0.395429836567349	0.176948934199539	0.286165508475446	0.087112747401095	0.0543429733565718	0	0.752732540482281	0.661037275583047
