,Ast,End,Mic,Neu,Oli
Bulk 0,"(0.2677970456917615, 0.3822253167010308)","(0.10016185688824719, 0.1804862819210306)","(0.051201251503263864, 0.14351454523959312)","(0.3996272035395683, 0.4749864985155046)","(0.0, 0.00023135768595387786)"
Bulk 1,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 2,"(0.25487268729110196, 0.3933026520280722)","(0.07384960812911173, 0.18621840099381837)","(0.042242829608810865, 0.12516256523603023)","(0.3331145115933683, 0.43053105286240584)","(0.050025792662025934, 0.11067989959525455)"
Bulk 3,"(0.0, 0.0674378105963829)","(0.16024470941749575, 0.2997310246480721)","(0.05069759642078072, 0.13220223012198035)","(0.2538274626472558, 0.36047970933651746)","(0.2713787394666464, 0.40814377245284944)"
Bulk 4,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 5,"(0.23511865519883685, 0.38843778494289444)","(0.11448044597555677, 0.24175389143705073)","(0.0163290679099038, 0.06917668540097396)","(0.25719809133971255, 0.36367122941246693)","(0.09367285647090534, 0.22016129191169864)"
Bulk 6,"(0.23418720727050257, 0.3973250232975526)","(0.09164774107744587, 0.22108655137012428)","(0.07519137129033374, 0.1940885298091887)","(0.16973852916815313, 0.29130398154322223)","(0.1044083603552828, 0.22102270481819408)"
Bulk 7,"(0.2688524361509184, 0.42231104365595457)","(0.0576946589110005, 0.16873202016063774)","(0.10628313850585823, 0.24733506655910176)","(0.11290176078020334, 0.2383023114002564)","(0.12700255238601152, 0.25058501149005774)"
Bulk 8,"(0.04793647273380933, 0.19037039034660744)","(0.12554612726197706, 0.25672484728876843)","(0.11982227985358677, 0.24391215158259)","(0.2728940073576653, 0.3831463685092687)","(0.11213239289181956, 0.24751496217390725)"
Bulk 9,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
