,Ast,End,Mic,Neu,Oli
Bulk 0,0.56999750332751,0.0,0.0,0.013692251972202444,0.41631024470028766
Bulk 1,0.6564106212005393,0.0,0.0,0.0,0.3435893787994608
Bulk 2,0.05320569625615073,0.0,0.0,0.3899407204287277,0.5568535833151216
Bulk 3,0.0,0.03962859553496699,0.0,0.3509809544574623,0.6093904500075707
Bulk 4,1.0,0.0,0.0,0.0,0.0
Bulk 5,0.5318925549404564,0.0,0.06509513763341657,0.40301230742612704,0.0
Bulk 6,0.3782973702537411,0.0,0.0,0.2518838100994465,0.36981881964681246
Bulk 7,0.0,0.24885971230112497,0.0,0.4912366289126936,0.25990365878618144
Bulk 8,0.0,0.33170803125568693,0.0,0.48761521418969633,0.18067675455461682
Bulk 9,0.478203701457357,0.5217962985426429,0.0,0.0,0.0
Bulk 10,0.0,0.13779874824753582,0.0,0.5047750477219122,0.3574262040305519
Bulk 11,0.0,0.0,0.0,0.5520808516479788,0.4479191483520212
Bulk 12,0.1178234237790491,0.44025478124328277,0.0,0.407350960462989,0.034570834514679
Bulk 13,0.12222746020621483,0.06308248902705957,0.18565316704847953,0.5655120579128171,0.06352482580542888
Bulk 14,0.3716842460325971,0.07036152493196635,0.0,0.5579542290354366,0.0
Bulk 15,0.6685897864818918,0.0,0.0,0.3314102135181081,0.0
Bulk 16,0.05238299147178935,0.0,0.0,0.0,0.9476170085282106
Bulk 17,0.0,0.14340865459783783,0.0,0.8565913454021621,0.0
Bulk 18,0.7804725303496306,0.14072931818576487,0.0,0.0,0.07879815146460468
Bulk 19,0.685222926042658,0.0,0.0,0.31477707395734195,0.0
Bulk 20,0.8843644155436219,0.029139023806390645,0.0,0.08649656064998754,0.0
Bulk 21,0.0,0.46465584956531586,0.0,0.19790954537928138,0.3374346050554027
Bulk 22,0.0,0.140015611722065,0.0,0.859984388277935,0.0
Bulk 23,0.21320169003359005,0.2649315393256628,0.0,0.5218667706407472,0.0
Bulk 24,0.0,0.579312306794412,0.17311423877613066,0.18653519742798144,0.061038257001475846
Bulk 25,0.0,0.00011377427581559362,0.4851303954613896,0.03786692433834478,0.47688890592445016
Bulk 26,0.0,0.002228053898155498,0.016848671210826113,0.9236937247494443,0.05722955014157421
Bulk 27,0.987686751902023,0.01231324809797696,0.0,0.0,0.0
Bulk 28,0.2770932525183186,0.0,0.0,0.4290854056663077,0.29382134181537367
Bulk 29,0.3621170554863552,0.0,0.0,0.5829637105421792,0.05491923397146545
Bulk 30,0.25235713764632184,0.0,0.7476428623536782,0.0,0.0
Bulk 31,1.0,0.0,0.0,0.0,0.0
Bulk 32,0.8341560308758907,0.0,0.0,0.1658439691241093,0.0
Bulk 33,0.3135609862064946,0.0,0.6864390137935055,0.0,0.0
Bulk 34,0.0,0.0,0.0012425335170219488,0.9302339648646902,0.06852350161828777
Bulk 35,0.0,0.0,0.05537913118484119,0.8668698588396788,0.07775100997547994
Bulk 36,0.0,0.4492977019572276,0.19808316520715336,0.23324092793968368,0.1193782048959353
Bulk 37,0.9469786456923828,0.0,0.0,0.05302135430761728,0.0
Bulk 38,0.5320933337914292,0.0,0.0,0.37192485751060894,0.09598180869796191
Bulk 39,0.0,0.003863517330650044,0.11260098736862219,0.7540968883839644,0.12943860691676345
Bulk 40,0.4351991024644358,0.4295348819209481,0.0,0.0,0.13526601561461607
Bulk 41,0.19678453701316878,0.0,0.0,0.13111481314362294,0.6721006498432083
Bulk 42,0.25743252426302976,0.5436210748494105,0.19894640088755972,0.0,0.0
Bulk 43,0.0,0.07754172696096169,0.12198731206059081,0.7721210879690535,0.028349873009393983
Bulk 44,0.0,0.11116342687855889,0.12649419746481658,0.6670599710860584,0.09528240457056607
